,Unnamed: 0,logs,cat
97,97,i bought biryani ,food
1463,1463,i went for a drive in town ,transport
4510,4510,i bought a smartwatch for my daughter ,shopping
4691,4691,buy new,shopping
3841,3841,i bought a new novel ,shopping
3269,3269,expense for shopping,shopping
927,927,i paid for your lunch on dinner ,food
3851,3851,i bought something new ,shopping
1020,1020,aubero eats the food on the menu ,food
4866,4866,i m buying new bags at my office ,shopping
1460,1460,we drove in the city to find a place ,transport
5384,5384,but they bought a new bike ,bills
4133,4133,i went online and purchased a couple of books ,shopping
769,769,i bought the whole food and bread ,food
5266,5266,perfume,shopping
2923,2923,gasoline is ready for my car ,transport
6327,6327,he paid the rent ,bills
4290,4290,i got a new camera for you ,shopping
5944,5944,policy for insurance,bills
1832,1832,i have a bus,transport
5330,5330,i made a new black ,shopping
4181,4181,i went to buy sneakers ,shopping
5264,5264,purchase perfume!,shopping
5215,5215,i bought a computer graphic card ,shopping
4945,4945,purchase sports equipment,shopping
667,667,i ate today ,food
4298,4298,you pay for the whole new phone ,shopping
1752,1752,i go to waynamad road,transport
5080,5080,purchased in stationary,shopping
3191,3191,air tickets are booked ,transport
406,406,and today i bought rice chickens and i bought some ,food
5979,5979,my house is covered,bills
6154,6154,i paid you my monthly loan ,bills
4956,4956,jogging in sports shoes,shopping
80,80,you can not read biryani today i bought him ,food
159,159,i bought rice and vegetables for vegetarians ,food
4862,4862,it is just a new bag for my office ,shopping
2374,2374,i had to go back to my hometown by bus today ,transport
5656,5656,the amount of my broadband bills is completely covered by the payment of the debt ,bills
3659,3659,booked playstation from amazon,shopping
6144,6144,i gave this month a loan ,bills
102,102,i bought an orea cookie and coffee ,food
2350,2350,i took uber to headquarters ,transport
6132,6132,credit card payments for a mobile card are paid,bills
3288,3288,I just bought a new external hard disk,shopping
2482,2482,it is my car repair!,transport
4093,4093,i bought a gaming pad and keyboard ,shopping
4469,4469,i bought a new watch and i didn not think i was gon na lose my money ,shopping
2500,2500,my bike is no one is working so i fixed it ,transport
1171,1171,uber eats food ordered,food
5940,5940,insurance policy,bills
157,157,i bought rice and vegetables for dinner ,food
5910,5910,house rates at full cost,bills
5687,5687,costs for broadband internet connection,bills
4618,4618,i bought jeans and top ,shopping
6060,6060,eri gets deducted from my account ,bills
4020,4020,i bought microwave popcorn today ,shopping
1420,1420,i went to kochi today ,transport
1385,1385,today i used diesel ,transport
3046,3046,booked ticket for train,transport
5105,5105,i bought a printer and made copies ,shopping
468,468,total cost of purchase of goods,food
5462,5462,the electricity bill has been paid ,bills
2437,2437,i had some trips around the state on my bike ,transport
3857,3857,i bought a watch from flipkarte ,shopping
4456,4456,he bought a new watch and he wanted to ,shopping
3292,3292,made uniform for kids,shopping
72,72,coffee and chips you re on your way to california ,food
5549,5549,my house paid ,bills
2436,2436,i made a short trip around the country on my bike and they took a photo ,transport
5638,5638,mobile phone bill paid,bills
3606,3606,i bought playstation from kart,shopping
2121,2121,my car broke down and i had to go to uber to see them ,transport
1030,1030,uber eats food,food
1302,1302,filled with gasoline,transport
755,755,today i purchased cookies and chips ,food
3114,3114,bus tickets,transport
625,625,i bought a dry crop today ,food
1394,1394,oil pump,transport
2513,2513,he got a bike ,transport
3936,3936,so the kids were buying a uniform ,shopping
540,540,i bought a box of candy for the super market ,food
2384,2384,i had to go to school today at bus station,transport
5820,5820,i paid emma bills ,bills
2806,2806,all expenses are accounted for at the trip to goa ,transport
1950,1950,today i went to drive and filled deisel in,transport
5029,5029,i only bought the movie so i ,shopping
3707,3707,the price of the new tv,shopping
1399,1399,the petrol is been paid,transport
6419,6419,the water administration bill has been paid ,bills
749,749,i bought a cookie and chips ,food
5230,5230,buy a card,shopping
1276,1276,i had breakfast from the hotel ,transport
2838,2838,i had to fill my car today ,transport
4087,4087,i bought a gaming mouse too ,shopping
3913,3913,i bought two pairs today and i only took a shirt ,shopping
3655,3655,bought a sony,shopping
4247,4247,i bought a new fridge okay?,shopping
1340,1340,fuel line is full,transport
4619,4619,i bought a pair of jeans and a pair of boots and a pair of boots ,shopping
1211,1211,Due to rain i had to go by a cab to office,transport
2445,2445,i took a short walk around the state for a while because of the bike ,transport
2637,2637,quantity of petrol,transport
115,115,i bought oats coffee ,food
1002,1002,i ordered from swiggy to call,food
2160,2160,you went to chenna on the train ,transport
3248,3248,i bought a microwave owen today,shopping
1711,1711,i brought 10 litres of diesel on his car ,transport
6335,6335,i took the house,bills
862,862,my expenses for dinner ,food
5478,5478,the election bill was very high in the previous month ,bills
63,63,coffee and chips today?,food
4840,4840,smart watch,shopping
4407,4407,i bought amazon prime ,shopping
4781,4781,i bought a few books ,shopping
1314,1314,i filled out the gas today ,transport
3958,3958,i went to the fashion store and bought trousers ,shopping
1122,1122,today I bought cool drinks and snacks,food
2171,2171,he went to chennai on the subway,transport
5793,5793,house is paid ,bills
3636,3636,sony has bought a camera for the camera ,shopping
3973,3973,i went to the cleaners and bought a pair of trousers ,shopping
4363,4363,i bought netflix,shopping
2720,2720,they reached the gas station and filled the tank ,transport
3569,3569,i bought it from amazon ,shopping
495,495,today i purchased fresh fruit,food
6118,6118,pay bill for mobile calls,bills
2067,2067,i used to go to boston university for uber ,transport
733,733,today i bought burger sandwich ,food
6430,6430,the water bill is paid to the authority of the commission,bills
4144,4144,i bought a book on luring snakes today ,shopping
2824,2824,i got gas on my bike right over there ,transport
3261,3261,I bought a new camera,shopping
4379,4379,netflix has a year,shopping
1296,1296,fill the fuel,transport
3000,3000,i booked a train ticket to new york ,transport
6022,6022,his emi is all paid!,bills
4059,4059,i bought a desktop computer with speakers ,shopping
5787,5787,the mortgage is paid ,bills
232,232,today i ll get my food ,food
788,788,we buy 1 liter of oil today,food
1229,1229,i took uber to office,transport
3752,3752,bought shoes today ,shopping
6474,6474,my district bill paid,bills
663,663,i made my meals today ,food
614,614,i have to buy fresh things today ,food
359,359,i got a new groceries today ,food
2371,2371, fees,transport
1141,1141,todays food expense for me,food
4336,4336,he just found a new shirt and a pair of pants ,shopping
4433,4433,amazon prime account ,shopping
510,510,today i bought ice cream and bread ,food
4773,4773,fiction purchased,shopping
3464,3464,the new addidas shoes are really amazing ,shopping
4106,4106,today i bought an xbox ,shopping
2481,2481,the amount of my car repair ,transport
3283,3283,I purchased movie tickets,shopping
3051,3051,booked ticket ticket,transport
2359,2359,the invoice charges,transport
6442,6442,a monthly payment is paid ,bills
573,573,i went to buy food at a hypermarket,food
3285,3285,novels purchased,shopping
2161,2161,he went to chennai for train ,transport
2013,2013,i took a cab to work ,transport
1157,1157,today i bought a cream biscuits and chips,food
682,682,you wanted money to buy fish and meat?,food
3702,3702,a profit for the new led tv,shopping
1962,1962,i just got off the bus today ,transport
3130,3130,purchased travel tickets,transport
3440,3440,i bought sneakers ,shopping
6422,6422,a financial transfer from the water authority will be paid,bills
6192,6192,this year the state is tax is paid ,bills
2499,2499,the bike is not working so i need to fix it ,transport
4791,4791,i bought books ,shopping
5699,5699,i just paid my bills today ,bills
1621,1621,my car fell out of my car yesterday ,transport
6006,6006,i paid her my loan ,bills
2530,2530,i fixed my bike,transport
2795,2795,all expenses for my trip to the city,transport
3940,3940,i bought uniforms,shopping
3316,3316,cost of using gas,shopping
5564,5564,the water authority is bill came,bills
2323,2323,i booked an airline ticket for the flight ,transport
2801,2801,all expenses for the trip to goa ,transport
6472,6472,my district bills are payed ,bills
1378,1378,today i was filling diesel ,transport
3402,3402,you bought my jeans and t shirts today ,shopping
4546,4546,bought a new phone ,shopping
6137,6137,i paid this month is loan,bills
4740,4740,i ve bought books ,shopping
2833,2833,it was a big car filled with fuel today ,transport
3513,3513,the new pair of trousers i bought this morning ,shopping
4803,4803,new books ,shopping
4127,4127,it went online and bought several books at the store ,shopping
2426,2426,i had to fill my tanks on my bike,transport
6186,6186,tax returns this year,bills
4434,4434,purchased by amazon prime ,shopping
3278,3278,I bought a pair of jeans and top,shopping
1048,1048,i ordered burger for uber eats ,food
6314,6314,i paid my monthly subscription to the channel,bills
42,42,today i bought some nice drinks and some sandwiches ,food
544,544,i bought stuff ,food
244,244,today today i bought vegets ,food
3127,3127,book the bus tickets ,transport
1553,1553,we were in the gas station and we ran out of gasoline ,transport
5675,5675,my internet bill is totally paid ,bills
3833,3833,i bought a new blanket for today is weather,shopping
1990,1990,because of the rain i had to take a cab out front ,transport
921,921,the money is spent ,food
1820,1820,i went to the office to run a bus ,transport
3451,3451,i bought sneakers from nike ,shopping
5791,5791,mortgage payment,bills
3755,3755,i bought a pair today ,shopping
3887,3887,i bought a fridge online today ,shopping
3323,3323,gas bills,shopping
1802,1802,car repair ,transport
605,605,today i was buying fresh fruit and today i will make my own bread ,food
4328,4328,smart phone purchase,shopping
2010,2010,i went to the cab at work today ,transport
2066,2066,i went to university from uber ,transport
4601,4601,expense for the cloth,shopping
2696,2696,fill the gas tank,transport
342,342,i bought new purchases today ,food
1677,1677,today i bought 20 litre of gasoline ,transport
5418,5418,i paid for the house today ,bills
2915,2915,car is gas ,transport
1097,1097,i bought me dinner,food
5270,5270,purchase pouches,shopping
677,677,i bought you something nice today but i don not eat today ,food
423,423,this is for my dinner expenses ,food
828,828,i bought coconut and veal today,food
3012,3012,i had a ticket booked for the trip ,transport
2550,2550,gasoline will be paid tonight ,transport
2891,2891,i took a beautiful ride ,transport
344,344,purchased at shopping centres today,food
1074,1074,i have a lunch ,food
5417,5417,i paid you a house rent today,bills
4213,4213,business expenses,shopping
4220,4220,today i bought shoes ,shopping
6522,6522,I had paid my monthly channel subscription for the month,bills
3113,3113,bus ticket to bavaria ,transport
3836,3836,and you have a new novel that is been around forever ,shopping
5980,5980,i have rent payments,bills
2405,2405,fill the gas on the car ,transport
51,51,i bought some cool drinks today ,food
4147,4147,i bought a book for my leraning snake today ,shopping
2088,2088,i had uber today ,transport
896,896,today i bought some of his cookies and milk ,food
724,724,today today i bought a burger and a sandwich ,food
607,607,i bought fresh fish today and vegetables ,food
6126,6126,billing bill for mobile phone services,bills
330,330,today i bought coffee and coffee ,food
5439,5439,i had to pay my rent ,bills
6254,6254,i ve paid my car insurance from here ,bills
4309,4309, 50 for the brand new smartphone,shopping
1324,1324,i filled the gas today sir ,transport
4798,4798,new books ,shopping
5740,5740,i have secured mortgage repayments from my business house,bills
5479,5479,the electry bill had been very high on the market for a month ,bills
3321,3321,gas consumption for gas,shopping
2544,2544,gas charges for today,transport
3671,3671,played gamestation from amazon,shopping
601,601,i bought fresh fruit last night ,food
6377,6377,the electoral bill was paid,bills
6325,6325,they paid the rent on the apartment ,bills
5610,5610,paid for the credit card ,bills
6286,6286,phone bill phone bill phone bill phone bill ,bills
2367,2367,fees and charges,transport
995,995,i ordered meals ,food
3631,3631,new amazon deal is great i bought the laptop ,shopping
2009,2009,today i went to a cab ,transport
2794,2794,all expenses for the trip to go,transport
5963,5963,my electricity bill is fully paid ,bills
3853,3853,i bought a new notebook ,shopping
1682,1682,i bought a litre of petrol today ,transport
2094,2094,my bike hasn not fixed ,transport
1969,1969,i only went to a bus stop today ,transport
4957,4957,sports shoes for jogging training,shopping
1416,1416,today i m going to kochi ,transport
681,681,he bought fish and meat ,food
6438,6438,current bill for this month ,bills
4877,4877,the school bags have just arrived ,shopping
4001,4001,today i was shopping ,shopping
6395,6395,the law of the precinct paid,bills
4073,4073,i bought a computer computer and lots of stuff like that too,shopping
5784,5784,the mortgage is paid back ,bills
3253,3253,went online a bought few books,shopping
3878,3878,i bought the fridge online ,shopping
6000,6000,i ve repaid my loan for a month ,bills
1332,1332,today i filled petrol ,transport
3784,3784,for indian sales i bought tablets and a laptop ,shopping
2718,2718,i went to the gas station and i went to the station ,transport
5558,5558,water authority debt,bills
873,873,my meal expenses,food
1743,1743,i went for ride to waynad ,transport
1626,1626,my car crashed today my car fell ,transport
4251,4251,i bought another fridge ,shopping
6101,6101,i m paid all month my bike is full ,bills
4471,4471,i bought another watch ,shopping
20,20,pam and kalinda are taking snack and shake,food
5975,5975,my bill is fully repaid ,bills
3932,3932,bought a uniform for a group of kids ,shopping
2075,2075,i had to go by uber at the cinema today ,transport
3780,3780,i took advantage of large indian sales and got them on my mobile phone,shopping
731,731,i bought a burger today ,food
3556,3556,they made a phone for amazon ,shopping
4378,4378,netflix got a year ,shopping
6492,6492,i just paid my house bill today,bills
2600,2600,my car needs a repair and ,transport
2257,2257,i took auto home ,transport
5425,5425,i pay the rent for them today ,bills
6199,6199,paid for an annual tax,bills
5023,5023,i bought a new camera in new york ,shopping
4224,4224,i went shopping today and bought some shoes ,shopping
4190,4190,we were just shopping for a sneaker ,shopping
319,319,i m buying chickens and bread ,food
5603,5603,paid bills paid for,bills
277,277,i bought the sauce!,food
3634,3634,the new amazon contract was great i bought my laptop ,shopping
6491,6491,charges for internet broadband is paid,bills
4370,4370,i bought a subscription to ntv,shopping
3265,3265,I bought netflix subscription,shopping
1987,1987,when the rain fell i had to go by the cab to my office ,transport
6066,6066,ingemi will be deducted from my account ,bills
4586,4586,wedding cloth for wedding rings,shopping
5398,5398,buy a new car ,bills
5539,5539,my house is bills have been paid ,bills
2937,2937,i was traveling alone at munnar for a short while ,transport
5122,5122,a fax printer ,shopping
4101,4101,i bought a xbox today ,shopping
4448,4448,shopping charges,shopping
3870,3870,i bought a watch at a flipkart shop ,shopping
4655,4655,i m paying him for my new glasses ,shopping
3413,3413,i bought them for jeans and shirts ,shopping
2434,2434,it took me a short trip around texas ,transport
4124,4124,you went online and bought some books,shopping
3400,3400,today today i bought a couple of jeans and a t shirt ,shopping
804,804,today today i bought 1 kilo of beans and 1 litre of olive oil ,food
2294,2294,he went for a ride on the railways ,transport
333,333,i bought coffee ,food
1925,1925,i had to put the fuel on today ,transport
4019,4019,i bought a microwave ,shopping
5959,5959,my bill is fully charged ,bills
3949,3949,i bought my kids uniform ,shopping
1247,1247,fill gasoline on car,transport
5245,5245,she bought a new television ,shopping
3108,3108,i ve got the gas in the car ,transport
5474,5474,electricity bill paid,bills
685,685,she bought a fish and a meat ,food
662,662,i bought something today ,food
6306,6306,i paid my monthly membership fee from channel ,bills
3217,3217,i purchased a pair of jeans and t shirts today,shopping
5841,5841,pay my paychecks,bills
4990,4990,i bought a pair of hym gloves ,shopping
3401,3401,i bought a pair of jeans today and got it at the shop ,shopping
6390,6390,the law of the district of bill paid,bills
634,634,i took the dry fruit and milk today from my store and i took a little a small,food
2310,2310,we went on a railroad train ,transport
1348,1348,petrol is filled ,transport
4442,4442,the expense of the purchase,shopping
5470,5470,electricity bill has been paid in advance,bills
2719,2719,the train went to the gas station ,transport
2238,2238,travel expenses in bus,transport
894,894,i m buying cookies and milk today ,food
1208,1208,i had to put petrol today,transport
3474,3474,the new addidas boots are great ,shopping
5199,5199,i bought a brand new desktop computer ,shopping
1477,1477,i had to refuel my car ,transport
1773,1773,the cost to make a diesel powered vehicle,transport
150,150,i bought rice and other vegetaria today ,food
3305,3305,earphones bought,shopping
3622,3622,a new amazon deal was amazing and i bought a laptop ,shopping
1227,1227,went for a journey on train,transport
1543,1543,i had to ride on the bus ,transport
737,737,today i bought a hamburger from the burger ,food
6434,6434,the amount of water fees is paid by the water ministry ,bills
3713,3713,cost of the new tv lead,shopping
5137,5137,he bought a new headset,shopping
3550,3550,i bought a new dress for today ,shopping
1231,1231,today i had to go to home by bus,transport
3760,3760,today today i bought my shoes ,shopping
6317,6317,he paid for the rent ,bills
4730,4730,i got the tickets for the movie ,shopping
3351,3351,i went around for a trip and the price,shopping
4850,4850,new watch for smart,shopping
4878,4878,school bags bought from the school ,shopping
2262,2262,i took the car to my house ,transport
3549,3549,i bought some new clothes today ,shopping
5652,5652,mobile phone bills paid to the user,bills
4879,4879,school tickets?,shopping
2978,2978,booked flights to delhi,transport
4833,4833,i just bought a clean new disk ,shopping
3969,3969,i went out for clothes and bought my trousers ,shopping
1630,1630,my car was broken yesterday ,transport
2198,2198,i went to my office today,transport
4676,4676,he bought a new set of joysticks ,shopping
2315,2315,i booked the ticket ,transport
4660,4660,purchased a laptop,shopping
615,615,today i ate fresh fruit and vegetables at the restaurant ,food
5893,5893,i paid the rent,bills
2278,2278,auto expense to office,transport
2144,2144,i went to kashmir today ,transport
6095,6095,so on that month emi is a member of the banks bank account ,bills
5668,5668,my bills at broadband are paid ,bills
4318,4318,smart phone,shopping
405,405,today i have bought rice chickens and other items from the shop ,food
5385,5385,she bought a new car ,bills
3693,3693,i bought a smartphone yesterday ,shopping
4197,4197,my purchases,shopping
1609,1609,bike is not a start ,transport
4812,4812,book bought,shopping
2542,2542,gasoline for today,transport
4410,4410,i got a month at the amazon ,shopping
28,28,purchase snacks and drinks ,food
4724,4724,i bought tickets to the movies ,shopping
4924,4924,purchase ready made uniforms with new uniforms,shopping
1568,1568,i went into the gas station ,transport
1364,1364,travel expenses?,transport
1649,1649,i have to fix a car today ,transport
2458,2458,i went to my office for rain ,transport
4750,4750,i m buying some new novels ,shopping
4946,4946,purchased sports equipment,shopping
466,466,the purchase cost of the purchase,food
823,823,i bought the coconut and veal today ,food
5794,5794,the mortgage is paid ,bills
3796,3796,we re going to buy a computer keyboard and a mouse today ,shopping
5222,5222,a graphical card bought,shopping
1870,1870,i went to us tonight ,transport
5752,5752,my mortgage account is on the house ,bills
6056,6056,iceda is deducted from the account,bills
5493,5493,the bill on the decentralised committee was very high last month,bills
4088,4088,i bought a mouse and a keyboard for the game and then they let me go ,shopping
5601,5601,paid bills for payment,bills
472,472,total cost of buying the purchase in a bag,food
3849,3849,i bought an album ,shopping
4295,4295,i brought a new lens ,shopping
4048,4048,purchased a computer,shopping
5589,5589,i ve just paid my phone bill ,bills
5746,5746,i pay my mortgage ,bills
4297,4297,the brand new brand new smartphone,shopping
805,805,today i have one kilo of beans 1 litre of olive oil i m going,food
797,797,i bought the oil 1 litre today ,food
3189,3189,planes will go on a plane for me next week ,transport
758,758,i bought cream biscuits today ,food
1593,1593,the bike isn not starting ,transport
310,310,eggs on bread,food
5825,5825,i paid for my emi bills ,bills
1983,1983,thanks to the rain i had to get on the cab ,transport
4279,4279,i bought a new camera it is not like the other day ,shopping
4358,4358,i bought netflix membership,shopping
2202,2202,i m going to the train today ,transport
2912,2912,my to go expenditures,transport
3188,3188,flights can travel next week ,transport
4981,4981,i bought a pair of gloves ,shopping
6121,6121,paid cash to pay cash for mobile call,bills
1960,1960,i went to the office on the bus today ,transport
6486,6486,i just paid my mobile prepaid,bills
227,227,i bought food ,food
1728,1728,i went there today to kollam ,transport
2899,2899,the expense of my to dos,transport
6211,6211,annual tax,bills
1454,1454,he drove into town,transport
1021,1021,the uber eats the food,food
645,645,eat bread and eggs,food
2411,2411,i got gas from my car ,transport
4384,4384,netflix got a year in prison ,shopping
6285,6285,the amount of bill of eur for the phone line is fully paid,bills
296,296,eggs and milk ,food
1487,1487,i had to pick up a diesel oil in my car ,transport
4201,4201,shopping expenses and stuff,shopping
22,22,bought snacks and snacks,food
385,385,i bought a litre of milk and meat today ,food
5399,5399,buy a new car,bills
1159,1159,purchased 1 liter of oil today,food
2588,2588,gasoline came along with my car ,transport
5845,5845,i paid the bills of the broadband service,bills
2395,2395,i put gasoline on my car ,transport
714,714,i took some fish and chips ,food
4563,4563,i bought a new house in new york ,shopping
4435,4435,amazon main account,shopping
1957,1957,i was driving today i was on a bus to the office ,transport
5295,5295,i got a bouquet of perfume and cologne from a friend,shopping
5083,5083,bought,shopping
5391,5391,i bought another bike ,bills
4940,4940,purchased sports apparel,shopping
3311,3311,todat I bought perfume and cologne,shopping
6014,6014,i paid you my monthly rent ,bills
943,943,i had some bread for breakfast ,food
2969,2969,this trip was amazing to me ,transport
4516,4516,you just have to get my new samsung phone ,shopping
4112,4112,i bought one today in an xbox ,shopping
5640,5640,mobile card,bills
3434,3434,i went there today for a jacket ,shopping
105,105,i bought a cup of orea is cookies ,food
1000,1000,i have a swiggy from you ,food
4703,4703,i bought tickets to a movie ,shopping
1522,1522,my bike is gone ,transport
2148,2148,today i travelled to kashmir on a plane flying over the sky ,transport
3674,3674,amazon bookseller,shopping
2033,2033,the cost to be on day 2,transport
3020,3020,second class ac is booked to boarding ,transport
237,237,today i m gon na eat ,food
4667,4667,i bought a new macbook pro from the internet,shopping
3465,3465,the new addidas shoes are outstanding ,shopping
4308,4308,paid in full for a new smartphone ,shopping
5450,5450,i have to pay the house rent ,bills
4075,4075,i bought a computer speaker and many other things in the house ,shopping
1544,1544,i had to make a trip by bus ,transport
6356,6356,he had a plan to pay the tax returns ,bills
1767,1767,expenses in the travel,transport
6127,6127,the payment in writing on mobile payment is paid,bills
5792,5792,mortgage debt paid,bills
1079,1079,i have an afternoon,food
2448,2448,i went round the state on my bike for a short walk ,transport
6027,6027,my emi is paid!,bills
5782,5782,a mortgage is paid ,bills
5905,5905,house rent is fully paid ,bills
5293,5293,i bought perfume and shampoo ,shopping
1412,1412,purchased gas,transport
1203,1203,i took bus to office,transport
1841,1841,flight tickets,transport
2646,2646,amount sent by petrol,transport
5033,5033,i just bought a movie ,shopping
6443,6443,current monthly payment in accordance with budget,bills
4786,4786,i bought some books ,shopping
1335,1335,gasoline is filled ,transport
1361,1361,travel expenses ,transport
2303,2303,i went on the train ,transport
3808,3808,i bought a keyboard and mouse today from the store in greece ,shopping
1413,1413,it was a good time today to go to kochi ,transport
4172,4172,i went shopping for a book and i bought a few clothes ,shopping
3200,3200,they moved to a gas station ,transport
2615,2615,i only went to homw is,transport
1505,1505,i m going on a bike trip ,transport
3303,3303,inkjet printer bought,shopping
2603,2603,i need a repair ,transport
4873,4873,i only buy new luggage for our office ,shopping
4000,4000,today i went shopping ,shopping
2680,2680,parking fee for today,transport
5483,5483,the proposal for a municipal act this month was very high ,bills
4180,4180,went to sneaker shops,shopping
6331,6331,paid by landlord,bills
722,722,today i bought a burger and a sandwich,food
2572,2572,i had a car parked in my office for a second for crying out loud!,transport
5815,5815,ema bills are deducted,bills
2933,2933,for a very short time i was on munnar,transport
2817,2817,gasoline in my bicycle,transport
3268,3268,amazon prime account bought,shopping
2567,2567,i was just taking my car for an hour cause of the rain ,transport
4187,4187,it is for shopping sneakers ,shopping
4607,4607,amount for fabric,shopping
4580,4580,wedding dress,shopping
1498,1498,i went to the bike trip and i didn not see her ,transport
2185,2185,booked by train,transport
1390,1390,today i m refueling diesel ,transport
2660,2660,gas station quantity of,transport
3977,3977,you bought two sets of trousers and trousers today ,shopping
430,430,dinner expenses for me ,food
5676,5676,the price to pay for broadband is paid,bills
1641,1641,i have to get a car repaired today ,transport
577,577,i went to the supermarket to buy some food ,food
6332,6332,paid by rent ,bills
2954,2954,that trip was great ,transport
5152,5152,purchase of new headphones with a new connection,shopping
679,679,i m buying groceries today ,food
531,531,i went to the bakery ,food
278,278,i bought meatballs and noodles ,food
4368,4368,i bought the internet for subscription,shopping
5832,5832,i paid my money to the emi ,bills
1145,1145,i bought ice creams and bread today,food
1644,1644,i have to take care of my car ,transport
2753,2753,he was in a tour today ,transport
1897,1897,i was taking a nice walk today ,transport
297,297,egg and milk ,food
6321,6321,house rent and rent,bills
1693,1693,and he was giving me 30 litre of diesel on my car ,transport
4959,4959,sports shoes for driving,shopping
1664,1664,my car is gone!,transport
155,155,i bought rice and other vegetals at the farm ,food
3669,3669,book from amazon,shopping
442,442,i bought two meals today i ve just had to go to work ,food
422,422,he takes my food for me ,food
810,810,today i bought one kilo of beans and one litre of petrol ,food
3633,3633,the new amazon merger was great and i bought my notebook ,shopping
60,60,a cup of coffee and fries for you today ,food
4943,4943,bought sports equipment ,shopping
4813,4813,new books are being printed ,shopping
897,897,i bought some cookies yesterday and milk ,food
3838,3838,i bought a new piece ,shopping
1788,1788,expenditure for petrol for car,transport
2816,2816,i have a gas mask on my bike ,transport
2409,2409,fill up my car in gasoline ,transport
5162,5162,the headset bought,shopping
3004,3004,i booked the train tickets ,transport
3533,3533,i really liked the brandy and i bought him here,shopping
5371,5371,i bought him a new bike ,shopping
538,538,i went to baker is and bought cakes ,food
2983,2983,booking flights for delhi,transport
2673,2673,the parking is for today,transport
2761,2761,we went on a trip today ,transport
1488,1488,i had to fill the fuel from the car ,transport
3601,3601,i bought a playstation from flip flop ,shopping
2644,2644,amount sent for gas,transport
500,500,so for the first time in my life i bought ice creams and bread ,food
2639,2639,the fuel supply was sent on petrol,transport
2764,2764,we went for a trip today and we got lost ,transport
4613,4613,expenses for the fabric,shopping
5992,5992,my rent is a little high ,bills
870,870,expense for lunch,food
2156,2156,she went to chennai on the train ,transport
3896,3896,so the two of us have bought jeans and a matching shirt ,shopping
2577,2577,petrol is pouring into my car ,transport
565,565,i went to the mall for food for some reason ,food
2012,2012,i was in my cab at the office today ,transport
2366,2366,billing fees,transport
1124,1124,today I bought biryani,food
5717,5717,electric electricity paid off,bills
6197,6197,he pays tax on every day ,bills
1501,1501,he went for a trip ,transport
563,563,i went to buy food at the hyper market ,food
1258,1258,gas is filled for my car,transport
914,914,this is a daily amount of lunch,food
2168,2168,i went on a train to chennai ,transport
6147,6147,i paid this month is loan as a loan ,bills
852,852,i bought some nuts and dried fruit with cashew buns ,food
4753,4753,i bought a new comic ,shopping
2948,2948,i went somewhere for a short walk in munnar ,transport
5275,5275,purchase of perfumes,shopping
134,134,i have a snack today ,food
3844,3844,i bought a new one ,shopping
3082,3082,i filled the tank of gasoline,transport
3835,3835,i bought a new robe today ,shopping
3492,3492,buy ray ban is sunglasses ,shopping
741,741,i bought chocolate on my lunch today,food
6001,6001,i paid a loan ,bills
3483,3483,buy ray banan,shopping
4560,4560,today i bought my own car ,shopping
6475,6475,my electra council pays me,bills
3797,3797,i bought a computer mouse today ,shopping
8,8,we bought something at the hotel ,food
2016,2016,i took an uber ,transport
1993,1993,this is a cab on my way to work today ,transport
2737,2737,i was gon na fill up the gas for the car ,transport
1414,1414,i went to kochi today,transport
5084,5084,purchase in one place,shopping
2163,2163,i went to chennai for the train ,transport
3141,3141,flight tickets are available on board ,transport
3992,3992,i bought two pants and a shirt ,shopping
5961,5961,my electricity price is fully paid ,bills
732,732,today i bought me a burger and a sandwich ,food
3681,3681,today i have a smartphone ,shopping
5251,5251,i bought something new on tv ,shopping
2467,2467,i was on the way to my office in an effort to get rid of the rain ,transport
5991,5991,my rent payment will be paid ,bills
6045,6045,ema for the month is payable ,bills
70,70,coffee and chips today ,food
5624,5624,i paid my phone bill today ,bills
2858,2858,trip expenses for my trips ,transport
612,612,today i ve got fresh vegetables and fruit ,food
5170,5170,earphones have been bought and sold,shopping
2309,2309,i went for a way on the train ,transport
3118,3118,booked tickets to the bus office,transport
1259,1259,I went for a short trip in munnar,transport
4826,4826,i bought a new hard drive ,shopping
435,435, food expenditure for me ,food
2995,2995,i booked the ticket for the bus ,transport
5407,5407,order new car,bills
6202,6202,iva paid in the year,bills
5726,5726,electricity prices pay,bills
2829,2829,gas on my bike in the morning ,transport
978,978,order food from uber eats ,food
3770,3770,i bought a pair of t shirts for myself today shoes ,shopping
6487,6487,prepaid bill paid for,bills
1184,1184,i had to repair the car,transport
4594,4594,i bought my cloth for the wedding ,shopping
5869,5869,bills posted,bills
6423,6423,the bill for the land taxation bill is paid ,bills
480,480,but i was buying vegas now ,food
5482,5482,a legislative draft was very high this month ,bills
2193,2193,i was a train at work today ,transport
1671,1671,last week i gave up my car diesel ,transport
980,980,i m ordering a snack in the dining room ,food
5719,5719,electricity bill on loan,bills
4739,4739,i made my own novels ,shopping
6350,6350,my insurance for this month is paid ,bills
2471,2471,i took the car and went to my office ,transport
3982,3982,he bought two pants and a shirt today ,shopping
5014,5014,i bought gym supplies like dumbells ,shopping
2306,2306,they went for the subway ,transport
301,301,you bought eggs and bread they ate them ,food
2420,2420,i had to add petrol to my bike ,transport
4165,4165,i went to buy a book and i bought a lot of books ,shopping
1572,1572,i was in the petrol station today ,transport
628,628,i bought dry fruit and milk i have a nice day ,food
